Mes,Ano,lat,lon,Codigo,regiao,uf,Umidade média mensal,Temperatura média mensal
11,2022,-15.244722209999969,-40.22944443000007,A446,NE,BA,71.92721518987342,25.2389240506329
12,2022,-15.244722209999965,-40.22944442999956,A446,NE,BA,80.42919075144509,24.45115606936412
1,2022,-27.802222219999898,-50.33555555000008,A865,S,SC,76.9186046511628,21.249418604651165
2,2022,-27.802222219999955,-50.33555555000017,A865,S,SC,73.53815261044177,20.69116465863453
3,2022,-27.802222219999983,-50.335555550000166,A865,S,SC,85.97695852534562,19.023502304147463
4,2022,-27.802222220000036,-50.33555555000016,A865,S,SC,73.85310734463278,17.792090395480226
5,2022,-27.80222221999999,-50.33555555000009,A865,S,SC,77.63636363636364,14.41298701298702
6,2022,-27.80222222000008,-50.33555555000014,A865,S,SC,76.92307692307692,12.638461538461543
7,2022,-27.802222220000075,-50.33555555000014,A865,S,SC,74.5390625,16.361718749999994
8,2022,-27.802222219999983,-50.335555550000166,A865,S,SC,75.5229357798165,12.964678899082582
9,2022,-27.802222219999887,-50.33555554999999,A865,S,SC,81.5,12.142857142857142
10,2022,-27.802222219999855,-50.3355555499996,A865,S,SC,82.80538302277432,16.177639751552793
11,2022,-27.802222219999894,-50.33555554999934,A865,S,SC,73.08510638297872,17.027986906710318
12,2022,-27.802222220000125,-50.33555554999951,A865,S,SC,77.81805359661494,19.8143864598025
3,2022,-4.097499990000004,-63.1452777699999,A117,N,AM,85.82178217821782,25.573267326732687
4,2022,-4.09749998999997,-63.145277770000085,A117,N,AM,83.06735751295336,26.51848013816927
5,2022,-4.097499989999968,-63.145277770000796,A117,N,AM,81.02830188679245,26.65552560646899
6,2022,-4.097499989999968,-63.14527777000071,A117,N,AM,82.00278164116828,25.897913769123754
7,2022,-4.097499989999968,-63.145277770000774,A117,N,AM,79.75407608695652,27.309918478260883
8,2022,-4.097499989999996,-63.145277770000035,A117,N,AM,82.453125,26.98125
10,2022,-11.28027777,-57.52666666000004,A914,CO,MT,78.09433962264151,27.415094339622634
11,2022,-11.280277769999927,-57.52666666000004,A914,CO,MT,73.98472222222222,26.062361111111123
12,2022,-11.280277769999925,-57.52666666000004,A914,CO,MT,84.43010752688173,25.287499999999998
1,2022,-28.65000000000014,-56.01638888000091,A830,S,RS,50.571236559139784,29.50967741935479
2,2022,-28.65,-56.01638888000083,A830,S,RS,50.05357142857143,27.365178571428594
3,2022,-28.65000000000014,-56.01638888000091,A830,S,RS,71.61424731182795,22.860618279569866
4,2022,-28.650000000000095,-56.01638888000089,A830,S,RS,78.7375,19.847083333333316
5,2022,-28.65000000000014,-56.01638888000091,A830,S,RS,82.89247311827957,15.281451612903231
6,2022,-28.650000000000095,-56.01638888000089,A830,S,RS,84.75,13.094722222222206
7,2022,-28.65000000000014,-56.01638888000091,A830,S,RS,77.58467741935483,18.209946236559134
8,2022,-28.65000000000014,-56.01638888000091,A830,S,RS,75.02956989247312,15.420430107526878
9,2022,-28.650000000000095,-56.01638888000089,A830,S,RS,70.85833333333333,16.351111111111123
10,2022,-28.65000000000014,-56.01638888000091,A830,S,RS,68.90591397849462,19.433602150537652
11,2022,-28.650000000000095,-56.01638888000089,A830,S,RS,55.22222222222222,22.812222222222225
12,2022,-28.65000000000014,-56.01638888000091,A830,S,RS,54.42204301075269,27.072177419354855
2,2022,-16.388888880000007,-39.18249999,A427,NE,BA,84.22727272727273,23.581818181818186
3,2022,-16.38888888000002,-39.18249999,A427,NE,BA,86.09740259740259,24.654545454545467
4,2022,-16.388888880000135,-39.18249998999984,A427,NE,BA,83.94130434782609,24.20826086956522
5,2022,-16.38888887999986,-39.18249998999921,A427,NE,BA,85.27284946236558,22.5813172043011
6,2022,-16.38888887999988,-39.182499989999236,A427,NE,BA,85.23055555555555,20.886111111111102
7,2022,-16.38888887999986,-39.18249998999921,A427,NE,BA,87.58870967741936,20.761693548387093
8,2022,-16.38888887999986,-39.18249998999921,A427,NE,BA,85.59139784946237,20.52069892473116
9,2022,-16.388888879999907,-39.18249998999929,A427,NE,BA,84.53275109170306,21.49985443959243
10,2022,-16.38888887999988,-39.182499989999236,A427,NE,BA,83.72638888888889,23.52680555555558
11,2022,-16.38888887999988,-39.182499989999236,A427,NE,BA,86.97777777777777,23.130833333333335
12,2022,-16.38888887999986,-39.18249998999921,A427,NE,BA,85.08870967741936,24.362365591397857
1,2022,-19.23249998999976,-44.96416666000004,A560,SE,MG,79.41935483870968,23.802284946236522
2,2022,-19.23249998999981,-44.96416666000004,A560,SE,MG,82.71130952380952,23.23348214285715
3,2022,-19.23249998999976,-44.96416666000004,A560,SE,MG,69.95006747638327,24.41174089068826
4,2022,-19.232499989999777,-44.96416666000004,A560,SE,MG,71.8926080892608,23.35341701534172
5,2022,-19.232499989999763,-44.96416666000004,A560,SE,MG,71.96211096075778,18.892557510148855
6,2022,-19.232499989999795,-44.96416666000004,A560,SE,MG,70.02453102453103,18.41168831168829
7,2022,-19.232499989999766,-44.96416666000004,A560,SE,MG,61.60738714090287,19.438987688098496
8,2022,-19.232499989999763,-44.96416666000004,A560,SE,MG,54.33423913043478,20.86127717391306
